"id","name","latitude","longitude","elevation","temperature"
"138070","Västmarkum A","63.1243","18.2518","141.392","0.7"
"64510","Växjö A","56.8463","14.8296","198.861","4"
"173900","Ylinenjärvi A","66.6223","23.4635","133.672",""
"114140","Älvdalen A","61.2536","14.0355","251.633","0.3"
"161910","Älvsbyn A","65.6691","21.062","43.384","-5"
"62180","Ängelholm-Barkåkra Flygplats","56.2926","12.8558","17.634",""
"106570","Åmot A","60.9614","16.4279","161.678","0.2"
"147090","Åsele A","64.165","17.3153","307.712","-2.5"
"77210","Ölands norra udde A","57.3671","17.0954","2.762",""
"66110","Ölands södra udde A","56.1977","16.4005","1.53","6.6"
"95130","Örebro Flygplats","59.2289","15.0455","53","3.8"
"138240","Örnsköldsviks Flygplats","63.4119","18.9797","107","0"
"108320","Örskär A","60.5256","18.3729","6.539",""
"78280","Östergarnsholm A","57.4408","18.9839","8.127",""
"134110","Östersund-Frösön Flygplats","63.1981","14.4869","375.8",""
"172770","Överkalix-Svartbyn A","66.2618","22.8427","61.024","-6.5"
